checkpoint_id,rung,lambda_orth,seed,condition_number,fisher_hl,fisher_scalar,mardia_b,mardia_z,mahalanobis_auroc,cosine_auroc,knn_1_auroc,knn_10_auroc,knn_50_auroc,probe_lr_auroc,probe_svm_auroc,probe_rf_auroc,checkpoint_path
runA_grl_s42,runA_grl,0,42,72.59589170479644,570390.8399751782,4.76946268566794,746.8666803043897,328.29306102612105,0.432987738026717,0.4680150216859101,0.4434866092875915,0.4355420653066145,0.4319152512125164,0.7364631604042816,0.7330142496122025,0.8285157308085578,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s42/best-26.ckpt
runA_grl_s52,runA_grl,0,52,72.76378164883756,630093.3951727606,5.543571519891709,667.0251117297923,256.22616637167,0.4338491713218675,0.4303007239973047,0.4607098217222551,0.4486440874183247,0.4438438758752817,0.7161534995894011,0.7163701783395795,0.7900589026110176,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s52/best-38.ckpt
runA_grl_s62,runA_grl,0,62,70.22693721249017,542301.3095885424,4.682350771958886,815.2707641352291,385.51624049407985,0.3630768932166239,0.3853789164276158,0.3884355210243657,0.3771057473029379,0.3738173917718413,0.7799629438972941,0.7797285735805137,0.8336841588166781,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s62/best-39.ckpt
runA_grl_s72,runA_grl,0,72,107.05221385943004,332506.44879397505,3.1826953158331475,600.2744062509787,263.4032884018611,0.4629305427377579,0.4707805742476404,0.5049399405666419,0.4913491674572048,0.4840738542177124,0.7314883949334788,0.7300669720265415,0.8559158451682185,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s72/best-18.ckpt
runA_grl_s82,runA_grl,0,82,83.19165097735292,552692.4360054075,4.722438305479977,703.8008535481673,315.8819138908786,0.3975076017913485,0.3946159324065357,0.3996426990597533,0.3852593695309656,0.3827512034988766,0.7677592840789813,0.7659969979300867,0.8266964194158588,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s82/best-34.ckpt
runB_orth1_s42,runB_orth1,1,42,534.3771467848401,607609.8925447065,5.256803720988876,724.1762658989543,317.31896534623996,0.414584944682937,0.4506924874222408,0.4433780981497198,0.4325630545468786,0.4309846404566966,0.7141820922527599,0.7126620775086427,0.8383785215449787,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s42/best-34.ckpt
runB_orth1_s52,runB_orth1,1,52,514.1762418103722,644032.9726901539,5.498578974030152,699.092192419976,285.9533870438048,0.4372735200360427,0.4543158662606881,0.4623260665652923,0.4551591356415846,0.4535174699067311,0.8121831513420771,0.8121260402168815,0.8525296707324636,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s52/best-38.ckpt
runB_orth1_s62,runB_orth1,1,62,742.4048688654436,581215.0401755418,4.971204748801867,990.4351668983248,565.7905074396953,0.4347914190062045,0.4714682265475526,0.4602938552036307,0.450544599666471,0.4479808254335335,0.736267007306617,0.7377590247171797,0.7858455615552296,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s62/best-39.ckpt
runB_orth1_s72,runB_orth1,1,72,398.1992834546991,518256.5745895254,4.670519477145536,631.3539903300194,232.8382897429619,0.4084005827567686,0.4398307243425479,0.4340583354503096,0.4239974592849206,0.4213455278038428,0.6898499188334971,0.690428072359538,0.7629746170677585,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s72/best-28.ckpt
runB_orth1_s82,runB_orth1,1,82,713.4927182582629,595798.842020487,4.995127134850522,738.3440299086898,329.8421136450935,0.344432730222675,0.3695513624825081,0.3557297831340283,0.3473423058775678,0.3471823947270199,0.7075710286340582,0.7070271417831347,0.8077192083865582,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s82/best-38.ckpt
