rung,method,seed,checkpoint_path,auroc,fpr95
runA_grl,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s42/best-38.ckpt,0.3701945711624372,0.9915137162028814
runA_grl,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s52/best-37.ckpt,0.4199738302224517,0.9903295835800277
runA_grl,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s62/best-34.ckpt,0.3849245179863974,0.9745411486086442
runA_grl,csg,72,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s72/best-35.ckpt,0.3923368549856638,0.9923031379514504
runA_grl,csg,82,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s82/best-23.ckpt,0.4388417142406633,0.9759226366686402
runB_orth1,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,0.3810595118536072,0.9976317347542925
runB_orth1,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,0.4031979310142265,0.9859877639628972
runB_orth1,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,0.440878391434671,0.9725675942372212
runB_orth1,csg,72,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,0.4145284347274803,0.970396684428656
runB_orth1,csg,82,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,0.402565500448902,0.9711861061772252
runB,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s42/best-39.ckpt,0.4307935114204215,0.9433589895401618
runB,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s52/best-28.ckpt,0.4144802552669769,0.9840142095914742
runB,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s62/best-39.ckpt,0.3878024463486066,0.979869745411486
runB,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s72/best-35.ckpt,0.4374578215017117,0.9899348727057432
runB,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s82/best-34.ckpt,0.4058684987572103,0.9601342016972568
