family,test,J,mean_J_null,p_exact_upper_tail,p_exact_lower_tail,p_exact_two_sided,p_as_currently_reported,convention_of_reported_p,flips_at_alpha_0.05
E1,condition_number,55.0,27.5,1.3875013875013875e-05,1.0,2.775002775002775e-05,1.3875013875013875e-05,upper tail (one-sided),False
E1,fisher_ratio_HL,33.0,27.5,0.2605727605727606,0.7797064047064047,0.5211455211455212,0.2605727605727606,upper tail (one-sided),False
E1,fisher_ratio_scalar,30.0,27.5,0.39904539904539904,0.6495171495171496,0.7980907980907981,0.39904539904539904,upper tail (one-sided),False
E1,mardia_kurtosis_b,23.0,27.5,0.7394272394272394,0.3041264291264291,0.6082528582528582,0.7394272394272394,upper tail (one-sided),False
E1,mardia_kurtosis_z,22.0,27.5,0.7797064047064047,0.2605727605727606,0.5211455211455212,0.7797064047064047,upper tail (one-sided),False
E2.6,mahalanobis,25.0,27.5,0.6495171495171496,0.39904539904539904,0.7980907980907981,0.6495171495171496,upper tail (one-sided),False
E2.6,cosine,38.0,27.5,0.09705572205572205,0.9241175491175491,0.1941114441114441,0.09705572205572205,upper tail (one-sided),False
E2.6,knn_k1,26.0,27.5,0.600954600954601,0.4491341991341991,0.8982683982683982,0.600954600954601,upper tail (one-sided),False
E2.6,knn_k10,28.0,27.5,0.5,0.5508658008658008,1.0,0.5,upper tail (one-sided),False
E2.6,knn_k50,30.0,27.5,0.39904539904539904,0.6495171495171496,0.7980907980907981,0.39904539904539904,upper tail (one-sided),False
E2.6,energy,42.0,27.5,0.03227328227328227,0.9767593517593518,0.06454656454656454,0.03227328227328227,upper tail (one-sided),True
E2.6,vim,30.0,27.5,0.39904539904539904,0.6495171495171496,0.7980907980907981,0.39904539904539904,upper tail (one-sided),False
E2.6,density_kde,28.0,27.5,0.5,0.5508658008658008,1.0,0.5,upper tail (one-sided),False
E2.7,logistic_regression,36.0,27.5,0.15084915084915085,0.877997002997003,0.3016983016983017,0.15084915084915085,upper tail (one-sided),False
E2.7,linear_svm,36.0,27.5,0.15084915084915085,0.877997002997003,0.3016983016983017,0.15084915084915085,upper tail (one-sided),False
E2.7,random_forest,24.0,27.5,0.6958735708735708,0.3504828504828505,0.700965700965701,0.6958735708735708,upper tail (one-sided),False
