checkpoint_id,rung,lambda_orth,seed,condition_number,fisher_hl,fisher_scalar,mardia_b,mardia_z,mahalanobis_auroc,cosine_auroc,knn_1_auroc,knn_10_auroc,knn_50_auroc,probe_lr_auroc,probe_svm_auroc,probe_rf_auroc,checkpoint_path
runA_grl_s42,runA_grl,0,42,82.28741532517053,658412.0593773798,5.476045422670281,645.8261920912876,236.54419220265703,0.3701945711624372,0.3909576857232321,0.39772720050883,0.383085797399271,0.3827754220512152,0.6938807619328329,0.6897409353479733,0.8096802240748556,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s42/best-38.ckpt
runA_grl_s52,runA_grl,0,52,77.01965552444351,570080.5882843364,5.182022766196169,784.7377124351528,379.2553945064716,0.4199738302224517,0.4203032282986741,0.448587448640781,0.4375115403119521,0.4350169005989883,0.719492997489,0.7177659227105266,0.8012821404665729,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s52/best-37.ckpt
runA_grl_s62,runA_grl,0,62,69.54159712258837,545144.3330530172,4.637980044358664,741.9330462820751,316.9990665610992,0.3849245179863974,0.4236076436499385,0.4018407473879604,0.3918015133331718,0.3904757193554155,0.7470020094527929,0.7467027128042112,0.7985894153246411,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s62/best-34.ckpt
runA_grl_s72,runA_grl,0,72,65.48442920026973,482159.4136990673,4.325431985864894,856.7243996956627,490.33276403032,0.3923368549856638,0.3870815150095766,0.4132654629874391,0.4032417305237751,0.4016282768259543,0.7302833072511548,0.7275055595318639,0.808205297061156,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s72/best-35.ckpt
runA_grl_s82,runA_grl,0,82,83.16041371738197,450576.01061641064,3.8529062911049463,669.5537323102741,281.6356721711578,0.4388417142406633,0.4313915464885418,0.459138492846853,0.4486157894999006,0.4450218250379638,0.7068866398270143,0.7044853961270584,0.8119831335818055,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s82/best-23.ckpt
runB_orth1_s42,runB_orth1,1,42,739.2238372958168,640373.8437140556,5.445331038287049,752.1006246345669,345.01315651317657,0.3810595118536072,0.415037153148678,0.4163904291716414,0.4087550581992424,0.4077590058232736,0.7012395089439457,0.7002469777050191,0.7909504802745044,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt
runB_orth1_s52,runB_orth1,1,52,491.5025446062358,578801.3285873368,5.157068761218919,592.6385188994842,204.5042183871941,0.4031979310142265,0.4042303971000946,0.4183995384390507,0.4062739877460996,0.4029738664643988,0.7225546690878348,0.7214441368173009,0.7958072447136997,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt
runB_orth1_s62,runB_orth1,1,62,399.8590369707029,535416.7279435131,4.611387954889521,602.4773629573582,191.45579343517664,0.440878391434671,0.4390328432769384,0.4635758984524688,0.4534821726549184,0.4496854851688849,0.7554582347629666,0.75353981624474,0.829466695454109,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt
runB_orth1_s72,runB_orth1,1,72,580.8090786342818,536182.56077411,4.594680362805435,807.2660194713704,420.6593735580057,0.4145284347274803,0.404357930966133,0.4237733947350928,0.41119288737188,0.4067919813575546,0.7367989566441537,0.7365787567569332,0.8186919731644698,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt
runB_orth1_s82,runB_orth1,1,82,587.6208133826314,562118.9149361793,4.865611820369582,1182.9101427725266,822.0778303861327,0.402565500448902,0.402769726397346,0.419403320140234,0.4060271216868892,0.401058668498345,0.7882648403473524,0.7882472346621419,0.840111736842928,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt
runB_s42,runB,5,42,12719.598786582745,682433.1989214737,5.740325840578894,668.5188075243543,267.2368022517912,0.4307935114204215,0.46631517130847,0.4438783143131816,0.4403551590583483,0.44401057165574,0.7463267240732239,0.7515468526788895,0.8341082840674732,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s42/best-39.ckpt
runB_s52,runB,5,52,4711.104950625911,584691.1290530674,5.297761117111376,674.9230996709053,269.9120545320072,0.4144802552669769,0.4552479370001595,0.4461590234804876,0.4388868878524722,0.4389239027321103,0.7076347526263818,0.7074866931078294,0.7886347744402552,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s52/best-28.ckpt
runB_s62,runB,5,62,5905.784288948279,566352.5045591911,4.982763698637253,692.2261763958858,277.1468429937979,0.3878024463486066,0.4031695472144113,0.4125569415094479,0.4050345904479624,0.4039889415685342,0.7578246964994573,0.7535793216847249,0.824522160233034,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s62/best-39.ckpt
runB_s72,runB,5,72,10313.07267442126,517411.11277021177,4.633350521415939,954.562283901034,588.2161154091496,0.4374578215017117,0.4310347522485036,0.4634452728563446,0.4528055561137846,0.4491875448622918,0.7065377896156688,0.7083253248935972,0.807289329082548,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s72/best-35.ckpt
runB_s82,runB,5,82,6681.325159714219,573397.6623177159,4.98802605684704,837.9565789277937,430.3584177519769,0.4058684987572103,0.4584559934304171,0.409140579764661,0.4031439545598123,0.4044615468647022,0.7927857226652844,0.7913450623267021,0.8595083496465036,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s82/best-34.ckpt
