rung,method,seed,checkpoint_path,auroc,fpr95
runA_grl,csg,42,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s42/best-26.ckpt,0.432987738026717,0.9775014801657784
runA_grl,csg,52,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s52/best-38.ckpt,0.4338491713218675,0.9846062759029012
runA_grl,csg,62,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s62/best-39.ckpt,0.3630768932166239,0.9733570159857904
runA_grl,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s72/best-18.ckpt,0.4629305427377579,0.9625024669429644
runA_grl,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s82/best-34.ckpt,0.3975076017913485,0.9553976712058416
runB_orth1,csg,42,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s42/best-34.ckpt,0.414584944682937,0.9747385040457864
runB_orth1,csg,52,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s52/best-38.ckpt,0.4372735200360427,0.9599368462601144
runB_orth1,csg,62,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s62/best-39.ckpt,0.4347914190062045,0.96901519636866
runB_orth1,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s72/best-28.ckpt,0.4084005827567686,0.9846062759029012
runB_orth1,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s82/best-38.ckpt,0.344432730222675,0.9911190053285968
runB,csg,42,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s42/best-38.ckpt,0.3999013738102636,0.9875666074600356
runB,csg,52,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s52/best-39.ckpt,0.3973325755159367,0.9875666074600356
runB,csg,62,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s62/best-24.ckpt,0.4536371026847725,0.9765147029800672
runB,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s72/best-35.ckpt,0.4374578215017117,0.9899348727057432
runB,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s82/best-34.ckpt,0.4058684987572103,0.9601342016972568
