family,test,J,mean_J_null,p_exact_upper_tail,p_exact_lower_tail,p_exact_two_sided,p_as_currently_reported,convention_of_reported_p,flips_at_alpha_0.05
E1,condition_number,75.0,37.5,1.3214298928584643e-06,1.0,2.6428597857169285e-06,1.3214298928584643e-06,upper tail (one-sided),False
E1,fisher_ratio_HL,45.0,37.5,0.23404109118394834,0.7968195825338682,0.46808218236789667,0.23404109118394834,upper tail (one-sided),False
E1,fisher_ratio_scalar,45.0,37.5,0.23404109118394834,0.7968195825338682,0.46808218236789667,0.23404109118394834,upper tail (one-sided),False
E1,mardia_kurtosis_b,54.0,37.5,0.045584045584045586,0.9641059998202856,0.09116809116809117,0.045584045584045586,upper tail (one-sided),True
E1,mardia_kurtosis_z,56.0,37.5,0.027883492169206454,0.9786430500716214,0.05576698433841291,0.027883492169206454,upper tail (one-sided),True
E2.6,mahalanobis,38.0,37.5,0.5,0.5411162911162911,1.0,0.5,upper tail (one-sided),False
E2.6,cosine,42.0,37.5,0.3396220181934468,0.6975101617958761,0.6792440363868936,0.3396220181934468,upper tail (one-sided),False
E2.6,knn_k1,38.0,37.5,0.5,0.5411162911162911,1.0,0.5,upper tail (one-sided),False
E2.6,knn_k10,38.0,37.5,0.5,0.5411162911162911,1.0,0.5,upper tail (one-sided),False
E2.6,knn_k50,38.0,37.5,0.5,0.5411162911162911,1.0,0.5,upper tail (one-sided),False
E2.6,energy,42.0,37.5,0.3396220181934468,0.6975101617958761,0.6792440363868936,0.3396220181934468,upper tail (one-sided),False
E2.6,vim,32.0,37.5,0.7327896970754113,0.3024898382041239,0.6049796764082478,0.7327896970754113,upper tail (one-sided),False
E2.6,density_kde,38.0,37.5,0.5,0.5411162911162911,1.0,0.5,upper tail (one-sided),False
E2.7,logistic_regression,22.0,37.5,0.9544159544159544,0.0571544857259143,0.1143089714518286,0.9544159544159544,upper tail (one-sided),False
E2.7,linear_svm,25.0,37.5,0.9133432704861276,0.10490171204456919,0.20980342408913838,0.9133432704861276,upper tail (one-sided),False
E2.7,random_forest,31.0,37.5,0.7659589088160517,0.26721030292458864,0.5344206058491773,0.7659589088160517,upper tail (one-sided),False
