family,test,design,tau,p_exact,at_design_ceiling,ci_lo,ci_hi,ci_method,ci_width,ci_lo_percentile,ci_hi_percentile,ci_lo_fixed_denominator,ci_hi_fixed_denominator,ci_contains_zero,ci_excludes_abs_tau_0.3,largest_effect_not_excluded,tau_crit_for_design,bca_degenerate,z0,acceleration,n_boot,n_boot_nan
E1,condition_number,"B (5/5/5 ladder, n=15)",0.8451542547285166,2.6428597857169285e-06,True,0.8574929257125441,0.8932370012631203,percentile (BCa degenerate),0.03574407555057624,0.8574929257125441,0.8932370012631203,0.8451542547285166,0.8451542547285166,False,False,0.8932370012631203,0.439480212459,True,,,20000,0
E1,fisher_ratio_HL,"B (5/5/5 ladder, n=15)",0.10141851056742199,0.6792440363868936,False,-0.4549052379454473,0.5275893435844942,BCa,0.9824945815299415,-0.40414518843273795,0.5715476066494082,-0.4169427656660682,0.5296299996298705,True,False,0.5275893435844942,0.439480212459,False,-0.08495143540871801,-0.010010024092753644,20000,0
E1,fisher_ratio_scalar,"B (5/5/5 ladder, n=15)",0.0563436169819011,0.8363673363673364,False,-0.47581225961224066,0.4990226137396671,BCa,0.9748348733519078,-0.4315767642046552,0.5359777015750854,-0.46201765925158905,0.48455510604434954,True,False,0.4990226137396671,0.439480212459,False,-0.07979537853486514,-0.0012958876281775023,20000,0
E1,mardia_kurtosis_b,"B (5/5/5 ladder, n=15)",0.0563436169819011,0.8363673363673364,False,-0.3120437569528384,0.38689885196196244,BCa,0.6989426089148009,-0.2901294265928297,0.4103472672323844,-0.304255531702266,0.3718678720805473,True,False,0.38689885196196244,0.439480212459,False,-0.05354208467150665,-0.0003803628871563891,20000,0
E1,mardia_kurtosis_z,"B (5/5/5 ladder, n=15)",0.03380617018914066,0.9177674177674178,False,-0.31655360615069655,0.3829708431025352,BCa,0.6995244492532318,-0.3133397807202561,0.39095025932100097,-0.304255531702266,0.3718678720805473,True,False,0.3829708431025352,0.439480212459,False,-0.04086941545270202,0.002591999955553811,20000,0
E2,condition_number,"A (n=15, continuous-continuous)",0.009523809523809525,1.0,False,-0.3548387096774194,0.37373737373737376,BCa,0.7285760834147932,-0.35353535353535354,0.37637992831540906,-0.3238095238095238,0.3523809523809524,True,False,0.37373737373737376,0.390476190476,False,-0.06346026421356812,0.02597903220563356,20000,0
E2,fisher_ratio_HL,"A (n=15, continuous-continuous)",-0.3142857142857143,0.11424717239544456,False,-0.7473684210526317,0.14583333333333337,BCa,0.893201754385965,-0.7473684210526317,0.14583333333333337,-0.7142857142857143,0.11428571428571428,True,False,0.7473684210526317,0.390476190476,False,-0.05555037302725986,0.03078082610310583,20000,0
E2,fisher_ratio_scalar,"A (n=15, continuous-continuous)",-0.20000000000000004,0.32823358766943417,False,-0.6458333333333335,0.26,BCa,0.9058333333333335,-0.6363636363636364,0.27835051546391754,-0.6285714285714286,0.21904761904761905,True,False,0.6458333333333335,0.390476190476,False,-0.03459837159864898,0.001261058423761,20000,0
E2,mardia_kurtosis_b,"A (n=15, continuous-continuous)",-0.028571428571428574,0.9225700904951897,False,-0.40206185567010316,0.3402061855670104,BCa,0.7422680412371135,-0.4066326530612245,0.3333333333333334,-0.3904761904761905,0.29523809523809524,True,False,0.40206185567010316,0.390476190476,False,0.0697407586881798,-0.03107028995242641,20000,0
E2,mardia_kurtosis_z,"A (n=15, continuous-continuous)",-0.028571428571428574,0.9225700904951897,False,-0.40206185567010316,0.3333333333333333,BCa,0.7353951890034365,-0.38947368421052636,0.3402061855670104,-0.3904761904761905,0.2857142857142857,True,False,0.40206185567010316,0.390476190476,False,0.05780996566986298,-0.04528675652179161,20000,0
