rung,seed,id_n,id_norm_mean,id_norm_median,ood_n,ood_norm_mean,ood_norm_median
runA_grl,42,5067,6.504480361938477,5.951600551605225,2298,6.40243673324585,5.78116512298584
runA_grl,52,5067,7.092338562011719,6.543992042541504,2298,7.23363733291626,6.626828670501709
runA_grl,62,5067,7.002551555633545,6.524672031402588,2298,6.676098346710205,6.087398529052734
runA_grl,72,5067,5.720992565155029,5.157626628875732,2298,5.876490592956543,5.524792671203613
runA_grl,82,5067,6.949834823608398,6.437985420227051,2298,7.022541522979736,6.391741752624512
runB_orth1,42,5067,6.896556377410889,6.552762031555176,2298,6.8009490966796875,6.110598564147949
runB_orth1,52,5067,7.0864577293396,6.4981865882873535,2298,7.159615516662598,6.250493049621582
runB_orth1,62,5067,7.014890193939209,6.5331807136535645,2298,6.983605861663818,6.4247589111328125
runB_orth1,72,5067,6.6409687995910645,6.181533336639404,2298,6.440886974334717,5.985572338104248
runB_orth1,82,5067,7.235084056854248,6.661740303039551,2298,7.105175018310547,6.481884956359863
runB,42,5067,7.080990314483643,6.667532444000244,2298,7.079655647277832,6.452394485473633
runB,52,5067,7.106812477111816,6.500548362731934,2298,7.134658336639404,6.2972517013549805
runB,62,5067,6.122265338897705,5.664218425750732,2298,6.196543216705322,5.679267406463623
runB,72,5067,6.7067437171936035,6.208190441131592,2298,7.0509419441223145,6.497514247894287
runB,82,5067,7.040629863739014,6.539208889007568,2298,6.71442174911499,5.885812282562256
