design,expected_tau,power
"A (n=13, continuous-continuous)",0.0,0.04245
"A (n=13, continuous-continuous)",0.01,0.04215
"A (n=13, continuous-continuous)",0.02,0.04285
"A (n=13, continuous-continuous)",0.03,0.0435
"A (n=13, continuous-continuous)",0.04,0.04555
"A (n=13, continuous-continuous)",0.05,0.0485
"A (n=13, continuous-continuous)",0.06,0.0508
"A (n=13, continuous-continuous)",0.07,0.0535
"A (n=13, continuous-continuous)",0.08,0.0565
"A (n=13, continuous-continuous)",0.09,0.05995
"A (n=13, continuous-continuous)",0.1,0.06375
"A (n=13, continuous-continuous)",0.11,0.06865
"A (n=13, continuous-continuous)",0.12,0.07355
"A (n=13, continuous-continuous)",0.13,0.07975
"A (n=13, continuous-continuous)",0.14,0.08555
"A (n=13, continuous-continuous)",0.15,0.0923
"A (n=13, continuous-continuous)",0.16,0.09885
"A (n=13, continuous-continuous)",0.17,0.10735
"A (n=13, continuous-continuous)",0.18,0.1187
"A (n=13, continuous-continuous)",0.19,0.1284
"A (n=13, continuous-continuous)",0.2,0.13735
"A (n=13, continuous-continuous)",0.21,0.1476
"A (n=13, continuous-continuous)",0.22,0.15815
"A (n=13, continuous-continuous)",0.23,0.1698
"A (n=13, continuous-continuous)",0.24,0.1833
"A (n=13, continuous-continuous)",0.25,0.1956
"A (n=13, continuous-continuous)",0.26,0.2107
"A (n=13, continuous-continuous)",0.27,0.2249
"A (n=13, continuous-continuous)",0.28,0.24015
"A (n=13, continuous-continuous)",0.29,0.25815
"A (n=13, continuous-continuous)",0.3,0.27365
"A (n=13, continuous-continuous)",0.31,0.29215
"A (n=13, continuous-continuous)",0.32,0.30965
"A (n=13, continuous-continuous)",0.33,0.3294
"A (n=13, continuous-continuous)",0.34,0.3499
"A (n=13, continuous-continuous)",0.35,0.3704
"A (n=13, continuous-continuous)",0.36,0.39025
"A (n=13, continuous-continuous)",0.37,0.4124
"A (n=13, continuous-continuous)",0.38,0.434
"A (n=13, continuous-continuous)",0.39,0.4551
"A (n=13, continuous-continuous)",0.4,0.47735
"A (n=13, continuous-continuous)",0.41,0.5011
"A (n=13, continuous-continuous)",0.42,0.52475
"A (n=13, continuous-continuous)",0.43,0.54745
"A (n=13, continuous-continuous)",0.44,0.5727
"A (n=13, continuous-continuous)",0.45,0.5969
"A (n=13, continuous-continuous)",0.46,0.61895
"A (n=13, continuous-continuous)",0.47,0.6418
"A (n=13, continuous-continuous)",0.48,0.66415
"A (n=13, continuous-continuous)",0.49,0.6867
"A (n=13, continuous-continuous)",0.5,0.7109
"A (n=13, continuous-continuous)",0.51,0.7305
"A (n=13, continuous-continuous)",0.52,0.7505
"A (n=13, continuous-continuous)",0.53,0.77115
"A (n=13, continuous-continuous)",0.54,0.79135
"A (n=13, continuous-continuous)",0.55,0.81055
"A (n=13, continuous-continuous)",0.56,0.82925
"A (n=13, continuous-continuous)",0.57,0.84675
"A (n=13, continuous-continuous)",0.58,0.8633
"A (n=13, continuous-continuous)",0.59,0.87825
"A (n=13, continuous-continuous)",0.6,0.8923
"A (n=13, continuous-continuous)",0.61,0.9051
"A (n=13, continuous-continuous)",0.62,0.9184
"A (n=13, continuous-continuous)",0.63,0.9297
"A (n=13, continuous-continuous)",0.64,0.93935
"A (n=13, continuous-continuous)",0.65,0.9467
"A (n=13, continuous-continuous)",0.66,0.95495
"A (n=13, continuous-continuous)",0.67,0.9634
"A (n=13, continuous-continuous)",0.68,0.96995
"A (n=13, continuous-continuous)",0.69,0.97475
"A (n=13, continuous-continuous)",0.7,0.97965
"A (n=13, continuous-continuous)",0.71,0.9831
"A (n=13, continuous-continuous)",0.72,0.98585
"A (n=13, continuous-continuous)",0.73,0.989
"A (n=13, continuous-continuous)",0.74,0.99135
"A (n=13, continuous-continuous)",0.75,0.99325
"A (n=13, continuous-continuous)",0.76,0.9946
"A (n=13, continuous-continuous)",0.77,0.9959
"A (n=13, continuous-continuous)",0.78,0.9969
"A (n=13, continuous-continuous)",0.79,0.9977
"A (n=13, continuous-continuous)",0.8,0.9984
"A (n=13, continuous-continuous)",0.81,0.99895
"A (n=13, continuous-continuous)",0.82,0.99925
"A (n=13, continuous-continuous)",0.83,0.99945
"A (n=13, continuous-continuous)",0.84,0.99975
"A (n=13, continuous-continuous)",0.85,0.9998
"A (n=13, continuous-continuous)",0.86,0.99995
"B (5/5/3 ladder, n=13)",0.0,0.0442
"B (5/5/3 ladder, n=13)",0.01,0.04435
"B (5/5/3 ladder, n=13)",0.02,0.0448
"B (5/5/3 ladder, n=13)",0.03,0.0451
"B (5/5/3 ladder, n=13)",0.04,0.04645
"B (5/5/3 ladder, n=13)",0.05,0.049
