scorer,rung,lambda_orth,n_seeds,auroc_mean,auroc_sd,fpr95_mean,fpr95_sd
mahalanobis,runA_grl,0.0,5,0.4013681335036533,0.027603706619443807,0.9849615156897572,0.008926271009939321
mahalanobis,runB_orth1,1.0,5,0.40848108797294663,0.021858869930542972,0.9797513321492006,0.011826185965889987
mahalanobis,runB,5.0,5,0.40467260897189145,0.026195128364598842,0.9810144069469116,0.012088242044344796
mahalanobis,ALL (pooled),,15,0.4048406101494971,0.02365003056690158,0.9819090849286233,0.0104762272856193
cosine,runA_grl,0.0,5,0.4107429461748686,0.020140829091501344,0.9874481941977502,0.00813070869071237
cosine,runB_orth1,1.0,5,0.41307314878796453,0.01522789037077573,0.9778567199526347,0.009154612280772086
cosine,runB,5.0,5,0.44113018708574037,0.02155792976108855,0.9720149990132227,0.020636339898095137
cosine,ALL (pooled),,15,0.4216487606828579,0.022786530058681902,0.9791066377212024,0.014417924085460599
knn_k1,runA_grl,0.0,5,0.42420385803256383,0.02791643999229802,0.9726465364120781,0.004758271922612593
knn_k1,runB_orth1,1.0,5,0.42831272437586987,0.019862345745768333,0.9648707321886718,0.005933805556886874
knn_k1,runB,5.0,5,0.42424254759933167,0.02967131929559086,0.9597394908229722,0.007513775338780952
knn_k1,ALL (pooled),,15,0.42558637666925514,0.024308524940957803,0.9657522531412407,0.007926176065031681
knn_k10,runA_grl,0.0,5,0.41296639821861375,0.028662440189163522,0.9764357608052101,0.008804574390856475
knn_k10,runB_orth1,1.0,5,0.41716224523499984,0.020387669157459726,0.9681073613578054,0.009786123628842788
knn_k10,runB,5.0,5,0.4162579914781612,0.028931823228238118,0.9573317544898361,0.009051926088955942
knn_k10,ALL (pooled),,15,0.41546221164392505,0.024415647834318314,0.9672916255509506,0.01176648623742199
knn_k50,runA_grl,0.0,5,0.4110683335901187,0.027468515844257285,0.977106769291494,0.008517207668063917
knn_k50,runB_orth1,1.0,5,0.4136685215329553,0.020283178561181826,0.9691336096309453,0.010891803231300417
knn_k50,runB,5.0,5,0.41575814460468197,0.028261557305552264,0.9551213735938425,0.01283614692187995
knn_k50,ALL (pooled),,15,0.41349833324258534,0.023775395918366644,0.9671205841720938,0.01379065310727367
energy,runA_grl,0.0,5,0.4286554168914612,0.044241551701709986,0.9562660351292678,0.015321825077963279
energy,runB_orth1,1.0,5,0.4288600464824442,0.02168471496970686,0.9546082494572726,0.00913288806960062
energy,runB,5.0,5,0.47964129232256436,0.06260761046317993,0.9419775014801658,0.021206298599824046
energy,ALL (pooled),,15,0.44571891856548984,0.04929472522190293,0.9509505953555687,0.016217812099504007
vim,runA_grl,0.0,5,0.381486247898697,0.006718451035926072,0.9721728833629367,0.016476519806387906
vim,runB_orth1,1.0,5,0.3920660709589842,0.03574156578526438,0.9692125518058023,0.018185636923811397
vim,runB,5.0,5,0.38598003463768266,0.009867171856188744,0.9742648509966448,0.012845246701076047
vim,ALL (pooled),,15,0.38651078449845466,0.02063592068241704,0.9718834287217946,0.014959985986361909
density_kde,runA_grl,0.0,5,0.4160595281710716,0.0286910325260485,0.9775804223406354,0.007521029019600121
density_kde,runB_orth1,1.0,5,0.4203881564065027,0.02179704186188761,0.9694888494178014,0.013016933895063096
density_kde,runB,5.0,5,0.41974107447582715,0.029782253733491127,0.9563055062166963,0.012244469550579165
density_kde,ALL (pooled),,15,0.41872958635113383,0.025065046725387754,0.9677915926583778,0.01377599922348355
